service	controller	annotation	path
booking-service	BookingController	POST	/api/v1/bookings/admin/{bookingRef}/reviews
booking-service	BookingController	GET	/api/v1/bookings/admin/{bookingRef}/reviews
booking-service	BookingController	GET	/api/v1/bookings/my-pricing
booking-service	BookingController	GET	/api/v1/bookings/venue-rooms
booking-service	BookingController	GET	/api/v1/bookings/venue-rooms/available
booking-service	BookingController	GET	/api/v1/bookings/venue-rooms/{roomId}/reviews/summary
booking-service	BookingController	GET	/api/v1/bookings/venue-rooms/{roomId}/reviews
booking-service	BookingController	GET	/api/v1/bookings/surge-rules
booking-service	BookingController	GET	/api/v1/bookings/surge/quote
booking-service	BookingController	GET	/api/v1/bookings/{bookingRef}/timeline
booking-service	BookingTransferController	POST	/api/v1/bookings/{bookingRef}/transfers
booking-service	BookingTransferController	GET	/api/v1/bookings/{bookingRef}/transfers
booking-service	BookingTransferController	POST	/api/v1/bookings/{bookingRef}/transfers/{transferId}/revoke
booking-service	BookingTransferController	GET	/api/v1/booking-transfers/by-token/{token}
booking-service	BookingTransferController	POST	/api/v1/booking-transfers/by-token/{token}/accept
booking-service	BookingTransferController	POST	/api/v1/booking-transfers/by-token/{token}/decline
booking-service	CheckInController	POST	/api/v1/bookings/admin/{bookingRef}/check-in/qr/issue
booking-service	CheckInController	POST	/api/v1/bookings/admin/{bookingRef}/check-in/otp/issue
booking-service	CheckInController	POST	/api/v1/bookings/admin/check-in/verify
booking-service	CustomerFreezeController	GET	/api/v1/bookings/freezes/me
booking-service	CustomerFreezeController	GET	/api/v1/bookings/freezes/me/binge/{bingeId}
booking-service	CustomerFreezeController	GET	/api/v1/bookings/admin/freezes
booking-service	CustomerFreezeController	POST	/api/v1/bookings/admin/freezes
booking-service	CustomerFreezeController	DELETE	/api/v1/bookings/admin/freezes/{id}
booking-service	ExportController	GET	/api/v1/bookings/admin/export/csv
booking-service	InternalBookingController	GET	/api/v1/bookings/internal/binges/{id}
booking-service	InternalBookingController	GET	/api/v1/bookings/internal/amount/{bookingRef}
booking-service	InvoiceController	GET	/api/v1/bookings/{ref}/invoice
booking-service	InvoiceController	GET	/api/v1/bookings/admin/invoices
booking-service	InvoiceController	POST	/api/v1/bookings/admin/{ref}/invoice/resend
booking-service	MediaController	POST	/api/v1/bookings/admin/media/upload
booking-service	MediaController	GET	/api/v1/bookings/media/{filename:.+}
booking-service	MessageAttachmentController	POST	/api/v1/bookings/notifications/attachment
booking-service	MyNotificationController	GET	/api/v1/bookings/notifications
booking-service	MyNotificationController	GET	/api/v1/bookings/notifications/unread-count
booking-service	MyNotificationController	GET	/api/v1/bookings/notifications/sent
booking-service	MyNotificationController	GET	/api/v1/bookings/notifications/thread/{threadId}
booking-service	MyNotificationController	POST	/api/v1/bookings/notifications/{id}/read
booking-service	MyNotificationController	POST	/api/v1/bookings/notifications/read-all
booking-service	MyNotificationController	POST	/api/v1/bookings/notifications/{id}/reply
booking-service	MyNotificationController	POST	/api/v1/bookings/notifications/contact-support
booking-service	MyNotificationController	DELETE	/api/v1/bookings/notifications/{id}
booking-service	PublicCurrencyController	GET	/api/v1/bookings/currencies
booking-service	PublicTaxController	GET	/api/v1/bookings/taxes/preview
booking-service	SlotHoldController	POST	/api/v1/bookings/slot-holds
booking-service	SlotHoldController	GET	/api/v1/bookings/slot-holds/{token}
