method	path	clients	sources
POST	/api/v1/bookings/admin/recovery/paid-not-confirmed/{}/replay	api	frontend\src\services\endpoints.js:454
POST	/api/v1/bookings/admin/recovery/stuck-pending/{}/cancel	api	frontend\src\services\endpoints.js:453
POST	/api/v1/bookings/admin/replay-all	api	frontend\src\services\endpoints.js:426
POST	/api/v1/bookings/admin/risk-flags/{}/acknowledge	api	frontend\src\services\endpoints.js:669
POST	/api/v1/bookings/admin/risk-flags/booking/{}/manual	api	frontend\src\services\endpoints.js:671
POST	/api/v1/bookings/admin/support/{}/escalate	api	frontend\src\services\endpoints.js:641
POST	/api/v1/bookings/admin/support/{}/goodwill	api	frontend\src\services\endpoints.js:642
POST	/api/v1/bookings/admin/support/{}/notes	api	frontend\src\services\endpoints.js:635
POST	/api/v1/bookings/admin/support/{}/resend-confirmation	api	frontend\src\services\endpoints.js:640
POST	/api/v1/bookings/admin/support/notes/{}/pin	api	frontend\src\services\endpoints.js:638
POST	/api/v1/bookings/admin/taxes	api	frontend\src\services\endpoints.js:210
POST	/api/v1/bookings/admin/taxes/global	api	frontend\src\services\endpoints.js:214
